id,caption_type,caption_character_length,caption,word_count,hashtag_count,duration_sec,post_date,post_time,post_url,media_type,views,reach,likes,shares,comments,saves,follows,engagment_raw,engagement_rate,engagement_per_reach,save_rate,share_rate,readability_flesch,readability_fk_grade,positive,negative,sentiment_score,cta_present,cta_count,day_of_week
32,Athlete Content,394,"I take my ODI grips with me everywhere. So should you. feel matters!
 
 I’ve been running ODI bars and grips for the past 3 seasons and have been genuinely impressed with the quality and convenience of their product line!
 Your handlebars, grips, and controls are a huge part of your rider triangle and your feel on the bike…Quality matter!
 
 #ODI #MotoLife #Supercross #TrustYourContactPoints",65,4,17,2025-12-19,18:32,https://www.instagram.com/reel/DSd_HNlCOZX/,reel,18692,14890,411,12,12,0,0,435,0.0292,0.0292,0.0000,0.0008,61.6555,7.8395,2,0,2,0,0,Friday
34,Event Content,680,"Moto-bred. V-Twin ready. The legendary ODI Ruffian full-knurl grip is now purpose-built for V-Twin performance, featuring ODI’s patented Lock-On system, slim 33mm profile, and proprietary medium-compound TPE for unmatched control, feedback, and traction. No glue. No slip. Just pure connection.
 
 -Moto-inspired performance grip
 -Full-knurl diamond pattern
 -Lock-On billet clamp (T15 Torx)
 -TBW-specific throttle tube
 -Slim feel riders & racers love
 -Proudly Made in the USA 
 
 Available for multiple styles of Harley-Davidson motorcycles. Built for riders who demand precision—on the street or on the limiter.
 
 #ODIgrips #RuffianGrips #HarleyDavidson #MadeInUSA #HotBike",93,5,31,2025-12-19,8:37,https://www.instagram.com/reel/DSc7IuWkkzM/,reel,8004,5757,102,2,2,0,0,106,0.0184,0.0184,0.0000,0.0003,45.76121906,10.01295792,7,3,4,0,0,Friday
35,Athlete Content,199,"A special weekend of remembrance, marking 10 years. We’re really looking forward to being part of Mcgazza Fest once again in 2026, for our close friend Kelly 🤍
 
 @kellymcgarryfoundation 
 @odigrips",32,0,0,2025-12-16,11:59,https://www.instagram.com/p/DSVkFe6kQ0K/,carousel,8019,3201,309,15,3,0,0,327,0.1022,0.1022,0.0000,0.0047,44.97,10.71333333,0,0,0,0,0,Tuesday
36,Athlete Content,208,"@swapmoto loves our new NOMAD Lock-On grips with @d3olab GRIP material! Isn’t it about time you made arm pump and hand fatigue things of the past? 
 
 #odigrips #swapmoto #moto #mx #motocross #enduromx #nomad",35,7,34,2025-12-15,5:34,https://www.instagram.com/reel/DSSS2UQCDti/,reel,39834,24231,1211,68,11,43,15,1333,0.0550,0.0550,0.0018,0.0028,60.96696078,7.571176471,1,1,0,0,0,Monday
37,Event Content,397,"The KTM @dm31_racing Team is locked and loaded for 2026 with @korey_mcmahon153 back in E3 and fresh faces @jyedickson_ E2 & @jacko__81 in E1.
 
 We are beyond proud to continue our partnership with the DM31 Racing Team, keeping their hands locked on the bars all season! 🤝🏼
 
 Bring on the new season ahead!
 #ODIgrips #Odimoto #ODIGrips #Odibars #controlbreedsconfidence #AUSEnduro #ReadyToRace",62,7,0,2025-12-14,22:08,https://www.instagram.com/p/DSRgPs2gZhb/,carousel,16363,5525,209,7,1,0,0,217,0.0393,0.0393,0.0000,0.0013,47.04002119,10.3625,2,0,2,0,0,Sunday
38,Athlete Content,435,"We’ve been riding the @odigrips Nomad D30 grip for months now and absolutely love it. While we’ve long been fans of the ODIs that come stock on the Austrian motorcycles, Kawasaki and Triumph, the slightly larger size of the Nomad, plus the D30 material’s ability to damped vibration, makes the Nomad a hands-down favorite! (And yes, this is meant to be an infomercial parody, but we do love these grips!) | #swapmotolive #odigrips #d30",74,3,30,2025-12-14,16:37,https://www.instagram.com/reel/DSQ57ZqD11m/,reel,73610,50273,1402,113,32,0,0,1547,0.0308,0.0308,0.0000,0.0022,54.69975,10.28783333,5,2,3,0,0,Sunday
39,Athlete Content,81,"@odigrips lock on install ASMR
 -
 -
 Always @maximaoilsuy
 -
 en breves me subo…",14,0,87,2025-12-13,14:26,https://www.instagram.com/reel/DSOGO35kg0L/,reel,93841,74584,3964,151,7,0,0,4122,0.0553,0.0553,0.0000,0.0020,41.85181818,10.15454545,0,0,0,0,0,Saturday
40,Athlete Content,131,"Stop what you’re doing and watch @dennisenarson in @odysseybmx ON LOCK is live on their YT channel 😎
 
 #odigrips #odi #grips #bmx",23,4,18,2025-12-12,13:34,https://www.instagram.com/reel/DSLbfm2gKYN/,reel,5778,3654,212,13,4,1,1,230,0.0629,0.0629,0.0003,0.0036,53.75954545,11.22636364,0,0,0,0,0,Friday
41,Athlete Content,85,"Tommy G that’s all! 😎 @thomasgenon 
 
 📷 @wolisphoto 
 
 #odigrips #grips #odi #mtb",16,4,12,2025-12-11,9:09,https://www.instagram.com/reel/DSIYllriPOh/,reel,4811,3041,156,2,1,1,0,160,0.0526,0.0526,0.0003,0.0007,45.645,8.383333333,0,0,0,0,0,Thursday
42,Event Content,820,"It may have been the first year back after 20 years… but @mxstore’s THUMPERNATS absolutely cemented itself as a stand-out on our 2025 calendar! 🙌🏼
 
 The grass-track comeback delivered a full weekend of unreal racing, with riders from every corner of the moto world lining up on the gate. Ex-pros, weekend warriors, OG Thumpernats racers, and the next-gen all ready to send it.
 
 We scored the best seat in the house right along the start straight, the perfect spot as crowds flooded through the tent all weekend. It gave us the prime opportunity to talk all things ODI, surrounded by the sound of motos on full noise.
 
 Bring on 2026… Thumpernats can’t come quick enough! 🔥🏁
 
 @odigrips 
 @mxstore 
 @ballardsoffroad 
 
 #ODI #Odigrips #odimoto #controlbreedsconfidence #mxstore #thumpernats #thumpernatscomeback",134,7,56,2025-12-09,21:43,https://www.instagram.com/reel/DSElOkPEi6A/,reel,4500,3381,72,3,0,0,0,75,0.0222,0.0222,0.0000,0.0009,56.30863636,10.09004329,7,1,6,0,0,Tuesday
43,Athlete Content,136,"Considering my love / hate relationship with flips, I was stoked to get my hands back on my @odigrips ⚡️ 🎥 @rupskywalker / @seagerfilms",24,0,19,2025-12-02,9:00,https://www.instagram.com/reel/DRxMXlnjKJT/,reel,14828,9284,1167,33,20,0,0,1220,0.1314,0.1314,0.0000,0.0036,49.91409091,11.76272727,1,1,0,0,0,Tuesday
45,Athlete Content,118,"Into the week like @mikey.delesalle 💨 Where did you ride at the weekend? 
 
 #trails #mtb #odigrips #grips #odi #bike",21,6,17,2025-12-01,4:05,https://www.instagram.com/reel/DRuF1f6iO_R/,reel,10202,4560,514,22,2,9,3,547,0.1200,0.1200,0.0020,0.0048,69.785,6.01,1,0,1,0,0,Monday
44,Community/Brand,207,"Vanquish Lock-On Grips powered by D3O anti-vibration material deliver 2x the vibration reduction for smoother rides, less fatigue, and better control on any terrain.
 
 #D3OProtected #ODIGrips #AntiVibration",28,3,42,2025-12-01,7:59,https://www.instagram.com/reel/DRugIWbD6j8/,reel,23894,0,611,58,19,0,0,688,NA,NA,NA,NA,22.9175,13.665,2,3,-1,0,0,Monday
46,Athlete Content,205,"@gee_atherton new project WINDFELL is now up on the @athertonbikes YouTube so go and watch how he carved a line through the devastation caused by Storm Darragh.
 
 #odigrips #athertonbikes #grips #windfell",32,4,55,2025-11-29,0:48,https://www.instagram.com/reel/DRoldrSjXhK/,reel,2540,1702,98,1,0,3,0,102,0.0599,0.0599,0.0018,0.0006,33.46032258,16.29354839,0,1,-1,0,0,Saturday
48,Athlete Content,156,"Go and meet the @chasebicycles team at The GRANDS! 
 
 @jorisdaudet33 @barrynobles95 @izaackennedy @connorfields11 
 
 #odigrips #odi #grips #bmx #thegrands",22,5,17,2025-11-27,8:32,https://www.instagram.com/reel/DRkQ8NmiIY_/,reel,2194,1714,70,0,0,1,0,71,0.0414,0.0414,0.0006,0.0000,19.1,12.83111111,0,0,0,0,0,Thursday
50,Event Content,423,"We are proud to support the @amxsuperstores Honda Racing Team 🙌
 
 @amxsuperstores is proud to be the official naming rights partner of the Honda Racing Team as they take on Round 3 of the FIM World Supercross Championship this weekend. We’re going all in on home soil! 🇦🇺
 
 Piloted by @christiancraig , @versacesavatgy17, @shanemcelrath_ & @anthonybourdon945 
 
 #AMX #AMXSuperstores #RideWithAMX #odigrips #odi #grips",66,6,0,2025-11-27,1:53,https://www.instagram.com/p/DRjjt-HCPIR/,image,7579,3154,167,3,4,1,1,175,0.0555,0.0555,0.0003,0.0010,30.025,14.04,3,0,3,0,0,Thursday
49,Athlete Content,180,"@gee_atherton has a new edit “WINDFELL” so stop what you’re doing, go and watch it on The Athertons YouTube channel 📺 NOW! 
 
 @dyfibikepark @athertonbikes 
 #odigrips #grips #mtb",30,3,18,2025-11-27,8:20,https://www.instagram.com/reel/DRkPfV2iDdt/,reel,107220,70966,5002,1604,36,117,148,6759,0.0952,0.0952,0.0016,0.0226,42.7325,10.65277778,0,0,0,0,0,Thursday
47,Athlete Content,90,We might be a little biased… but the AMX @quadlockhonda bikes are looking seriously 🔥🔥🤤,15,0,14,2025-11-27,19:21,https://www.instagram.com/reel/DRlbeqlEVkZ/,reel,14956,7434,395,27,3,0,0,425,0.0572,0.0572,0.0000,0.0036,60.19176471,9.087058824,0,1,-1,0,0,Thursday
51,Athlete Content,169,"Only rocking with the best.. 🤘🏼🏁
 
 Bars and grips: @odigrips 
 
 Dm me for any questions or recommendations on your next @odigrips bar set up. 
 
 🎥 @jordanworrelll",31,0,38,2025-11-26,7:45,https://www.instagram.com/reel/DRhnJA3iYU-/,reel,5537,4039,193,14,20,0,0,227,0.0562,0.0562,0.0000,0.0035,61.5325,8.030555556,2,0,2,0,0,Wednesday
52,Athlete Content,126,"Couple goals! @kailey_skelton hanging out with @nikolasnestoroff on the trails 🙌
 
 #odigrips #odi #grips #mtb #couplegoals❤️",17,5,13,2025-11-24,3:59,https://www.instagram.com/reel/DRcDMz7CMHN/,reel,5093,3173,228,0,0,1,0,229,0.0722,0.0722,0.0003,0.0000,38.96044118,9.936764706,0,0,0,0,0,Monday
54,Athlete Content,482,"Not yet tried our NOMAD v2 Lock-On Grips with D3O® GRIP™ material? Then you're missing out on the ultimate in vibration damping and comfort! Riders that have already tried them are enjoying being arm pump and hand fatigue-free! 
 
 Many of them were sceptical of our claims but just one ride had them won over and now they won't use any other grips. Don't be left in the dust, see for yourself and grab a pair today.
 
 #odigrips #odi #grips #moto #motocross #enduro #d3o #mx #nomad",88,9,0,2025-11-21,8:16,https://www.instagram.com/p/DRUytZfknvS/,carousel,7828,3010,77,7,3,1,0,88,0.0292,0.0292,0.0003,0.0023,68.99721348,8.057617978,4,4,0,0,0,Friday
53,Event Content,455,"Everything is a Wear Item eventually…
 
 New @prymemx frame tape
 New @odigrips 
 New @tusk_powersports kill switch, the OEM one is gross so I like to switch it out for a YZ version from @rmatvmc 
 New chain lube from @mucoff that has a UV die in it to make sure you spray everything you need lubed, and wipe up everything you don’t. Also that @mucoff.moto chain degreaser works AMAZING to get graphic residue off 😳 use code NWMOTOGARAGE20 to get 20% Off",84,0,131,2025-11-21,9:48,https://www.instagram.com/reel/DRU8GJ3gRXV/,reel,832002,572225,36725,1209,74,0,0,38008,0.0664,0.0664,0.0000,0.0021,45.54195122,17.09268293,3,3,0,0,0,Friday
